,age,roi,corr,seed_age,seed_roi
0,5,lLO,0.5616798564610587,18,lLO
1,5,rLO,0.5514813263980529,18,lLO
2,5,lFFA,0.5483916200619818,18,lLO
3,5,rFFA,0.5482735806866584,18,lLO
4,5,lA1,0.5476833069278824,18,lLO
5,5,rA1,0.5488690208020635,18,lLO
6,6,lLO,0.5788465318587301,18,lLO
7,6,rLO,0.5690770451947772,18,lLO
8,6,lFFA,0.5591527930837382,18,lLO
9,6,rFFA,0.5481715752403321,18,lLO
10,6,lA1,0.5618481386741141,18,lLO
11,6,rA1,0.5585514140688769,18,lLO
12,7,lLO,0.5902956684609966,18,lLO
13,7,rLO,0.5786748755468931,18,lLO
14,7,lFFA,0.5700171194013754,18,lLO
15,7,rFFA,0.5647721440402238,18,lLO
16,7,lA1,0.5711692413247278,18,lLO
17,7,rA1,0.5759790367584199,18,lLO
18,18,lLO,0.9509969905527822,18,lLO
19,18,rLO,0.7539248219857732,18,lLO
20,18,lFFA,0.6752932262155464,18,lLO
21,18,rFFA,0.6562620415538138,18,lLO
22,18,lA1,0.7267419715549697,18,lLO
23,18,rA1,0.6778853368279758,18,lLO
0,5,lLO,0.5552741235042379,18,rLO
1,5,rLO,0.564686257539659,18,rLO
2,5,lFFA,0.5625347622412638,18,rLO
3,5,rFFA,0.5437258916999965,18,rLO
4,5,lA1,0.5538975272877165,18,rLO
5,5,rA1,0.5531480837517231,18,rLO
6,6,lLO,0.5690738959065302,18,rLO
7,6,rLO,0.5751106790563527,18,rLO
8,6,lFFA,0.5596885582320665,18,rLO
9,6,rFFA,0.5521893995408941,18,rLO
10,6,lA1,0.5636369954432113,18,rLO
11,6,rA1,0.5586339987551692,18,rLO
12,7,lLO,0.5768506317742008,18,rLO
13,7,rLO,0.5886715736800808,18,rLO
14,7,lFFA,0.5713074255170377,18,rLO
15,7,rFFA,0.5732281296511399,18,rLO
16,7,lA1,0.578655163421865,18,rLO
17,7,rA1,0.5817459698893183,18,rLO
18,18,lLO,0.7518840810711962,18,rLO
19,18,rLO,0.9197953390989191,18,rLO
20,18,lFFA,0.6553801884150408,18,rLO
21,18,rFFA,0.7090059570218781,18,rLO
22,18,lA1,0.6909264219761106,18,rLO
23,18,rA1,0.7623858727785549,18,rLO
0,5,lLO,0.5475120647361718,18,lFFA
1,5,rLO,0.540740637877272,18,lFFA
2,5,lFFA,0.5603663601104825,18,lFFA
3,5,rFFA,0.5452560980313212,18,lFFA
4,5,lA1,0.5508284303886237,18,lFFA
5,5,rA1,0.5486010760794995,18,lFFA
6,6,lLO,0.5576773613688919,18,lFFA
7,6,rLO,0.5566742351674129,18,lFFA
8,6,lFFA,0.5635917509961738,18,lFFA
9,6,rFFA,0.5495299355218539,18,lFFA
10,6,lA1,0.554579547011363,18,lFFA
11,6,rA1,0.5547151890878251,18,lFFA
12,7,lLO,0.5648507912959452,18,lFFA
13,7,rLO,0.5614023626267338,18,lFFA
14,7,lFFA,0.5788671533817531,18,lFFA
15,7,rFFA,0.5668706567121016,18,lFFA
16,7,lA1,0.560873404890246,18,lFFA
17,7,rA1,0.5658589650189634,18,lFFA
18,18,lLO,0.6983458548257204,18,lFFA
19,18,rLO,0.6586528247867164,18,lFFA
20,18,lFFA,0.8885081022975522,18,lFFA
21,18,rFFA,0.6561442151971151,18,lFFA
22,18,lA1,0.6593920996405588,18,lFFA
23,18,rA1,0.6421292463131668,18,lFFA
0,5,lLO,0.543602844671246,18,rFFA
1,5,rLO,0.5510947239911357,18,rFFA
2,5,lFFA,0.5510150622367234,18,rFFA
3,5,rFFA,0.5413232210211925,18,rFFA
4,5,lA1,0.5447196926259898,18,rFFA
5,5,rA1,0.5497888638364778,18,rFFA
6,6,lLO,0.5600501203887387,18,rFFA
7,6,rLO,0.5626271549558158,18,rFFA
8,6,lFFA,0.562789949221683,18,rFFA
9,6,rFFA,0.5545844174228175,18,rFFA
10,6,lA1,0.558281271308396,18,rFFA
11,6,rA1,0.5539031973645177,18,rFFA
12,7,lLO,0.564419217299021,18,rFFA
13,7,rLO,0.5699499958859733,18,rFFA
14,7,lFFA,0.5653406981857148,18,rFFA
15,7,rFFA,0.5689662061102566,18,rFFA
16,7,lA1,0.5601609501535592,18,rFFA
17,7,rA1,0.5693219527716403,18,rFFA
18,18,lLO,0.676094176587586,18,rFFA
19,18,rLO,0.7288524153851199,18,rFFA
20,18,lFFA,0.6681764286934229,18,rFFA
21,18,rFFA,0.9084464631307512,18,rFFA
22,18,lA1,0.6344180804513846,18,rFFA
23,18,rA1,0.6921576558088366,18,rFFA
