,age,roi,corr,seed_age,seed_roi
0,3,lLO,-0.03492808778741103,18,lLO
1,3,rLO,-0.037502688330421335,18,lLO
2,3,lFFA,0.025957850655949175,18,lLO
3,3,rFFA,-0.00016948779965671033,18,lLO
4,3,lA1,-0.006857270417750472,18,lLO
5,3,rA1,0.0053039292682542,18,lLO
6,4,lLO,0.0580952258623844,18,lLO
7,4,rLO,0.025417728181290757,18,lLO
8,4,lFFA,0.017092225016519295,18,lLO
9,4,rFFA,0.039278442502141075,18,lLO
10,4,lA1,-0.0033744099940162236,18,lLO
11,4,rA1,0.02667731389221985,18,lLO
12,5,lLO,0.07956495394881391,18,lLO
13,5,rLO,0.05147610945866646,18,lLO
14,5,lFFA,0.09589057012775076,18,lLO
15,5,rFFA,0.023365726408407207,18,lLO
16,5,lA1,0.03279971631543267,18,lLO
17,5,rA1,0.03887218830174597,18,lLO
18,18,lLO,0.22984221916592978,18,lLO
19,18,rLO,0.17170714198167863,18,lLO
20,18,lFFA,0.08377522952860669,18,lLO
21,18,rFFA,0.08978635354980054,18,lLO
22,18,lA1,0.05294834230420323,18,lLO
23,18,rA1,0.0033192141859528686,18,lLO
0,3,lLO,-0.011696424851543817,18,rLO
1,3,rLO,-0.062234755001966666,18,rLO
2,3,lFFA,-0.01262527649902502,18,rLO
3,3,rFFA,-0.030916055676242577,18,rLO
4,3,lA1,0.04961800810869419,18,rLO
5,3,rA1,0.006225312375042208,18,rLO
6,4,lLO,0.044719339478608386,18,rLO
7,4,rLO,0.03787860249268522,18,rLO
8,4,lFFA,0.03185924579734846,18,rLO
9,4,rFFA,0.01585315937871351,18,rLO
10,4,lA1,0.01367947057393534,18,rLO
11,4,rA1,0.04574347849380244,18,rLO
12,5,lLO,0.07762971738272464,18,rLO
13,5,rLO,0.08024174863238764,18,rLO
14,5,lFFA,0.04909809247174307,18,rLO
15,5,rFFA,0.013688823052482042,18,rLO
16,5,lA1,0.0603775460987985,18,rLO
17,5,rA1,0.08079862868291793,18,rLO
18,18,lLO,0.1380951352048309,18,rLO
19,18,rLO,0.23822466622676897,18,rLO
20,18,lFFA,0.05391330431164421,18,rLO
21,18,rFFA,0.09495541511876049,18,rLO
22,18,lA1,0.03151205011134442,18,rLO
23,18,rA1,0.01164604628469601,18,rLO
0,3,lLO,0.0009032167600482709,18,lFFA
1,3,rLO,-0.03729751191220021,18,lFFA
2,3,lFFA,0.024892683381009067,18,lFFA
3,3,rFFA,-0.018772219590730135,18,lFFA
4,3,lA1,0.005813996173963453,18,lFFA
5,3,rA1,-0.004622379520719812,18,lFFA
6,4,lLO,0.036060480682446966,18,lFFA
7,4,rLO,0.018440699761742486,18,lFFA
8,4,lFFA,-0.011140746542423238,18,lFFA
9,4,rFFA,0.03271038717625731,18,lFFA
10,4,lA1,0.042171052564363896,18,lFFA
11,4,rA1,0.025202278314535292,18,lFFA
12,5,lLO,0.03773092317246437,18,lFFA
13,5,rLO,0.017371062021946694,18,lFFA
14,5,lFFA,0.003147378845337905,18,lFFA
15,5,rFFA,0.04767770907843531,18,lFFA
16,5,lA1,0.03074318220451239,18,lFFA
17,5,rA1,0.024309689656308454,18,lFFA
18,18,lLO,0.1676519059504579,18,lFFA
19,18,rLO,0.08540722880722695,18,lFFA
20,18,lFFA,0.16589863836677207,18,lFFA
21,18,rFFA,0.10828579304544131,18,lFFA
22,18,lA1,0.0474268232752172,18,lFFA
23,18,rA1,0.044174688538084476,18,lFFA
0,3,lLO,0.0033928192630363063,18,rFFA
1,3,rLO,-0.013783614176840101,18,rFFA
2,3,lFFA,-0.010504641910493193,18,rFFA
3,3,rFFA,-0.016621206238613597,18,rFFA
4,3,lA1,0.0027825014045468775,18,rFFA
5,3,rA1,0.03585561043707426,18,rFFA
6,4,lLO,0.015997241080723843,18,rFFA
7,4,rLO,0.03582043336497838,18,rFFA
8,4,lFFA,0.03288889615241026,18,rFFA
9,4,rFFA,-0.01175987416062702,18,rFFA
10,4,lA1,0.009919860737584258,18,rFFA
11,4,rA1,0.015145363369155725,18,rFFA
12,5,lLO,0.0863999999757607,18,rFFA
13,5,rLO,0.09580206358771398,18,rFFA
14,5,lFFA,0.013057744324922866,18,rFFA
15,5,rFFA,0.02561489492215315,18,rFFA
16,5,lA1,0.021224999818896775,18,rFFA
17,5,rA1,0.07124648184049877,18,rFFA
18,18,lLO,0.0976155789121094,18,rFFA
19,18,rLO,0.16092782497830482,18,rFFA
20,18,lFFA,0.07010426433731129,18,rFFA
21,18,rFFA,0.16304097579944893,18,rFFA
22,18,lA1,0.021740268467499435,18,rFFA
23,18,rA1,0.10007592657942935,18,rFFA
