,model_arch,train_type,layer,image,pred
10,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n13054560/n13054560_13228.JPEG,2.9343128257671007e-08
0,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0002_01.jpg,2.882606186915042e-08
1,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0003_01.jpg,2.882606186915042e-08
2,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0004_01.jpg,2.882606186915042e-08
3,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0005_01.jpg,2.882606186915042e-08
4,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0008_01.jpg,2.882606186915042e-08
5,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0010_01.jpg,2.882606186915042e-08
6,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0011_01.jpg,2.882606186915042e-08
7,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0012_01.jpg,2.882606186915042e-08
8,cornet_z_sl,imagenet_noface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0013_01.jpg,2.882606186915042e-08
