,model_arch,train_type,layer,image,pred
0,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n07836838/n07836838_16042.JPEG,2.1641294991019052e-08
1,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04049303/n04049303_10453.JPEG,2.164072681135404e-08
2,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000267/0186_01.jpg,2.1640080989997596e-08
3,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04476259/n04476259_20224.JPEG,2.164000830057372e-08
4,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03924679/n03924679_9961.JPEG,2.16399756660862e-08
5,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000107/0011_01.jpg,2.163963815470238e-08
6,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04252225/n04252225_2219.JPEG,2.1639425535029088e-08
7,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n07248320/n07248320_14032.JPEG,2.1639318274202295e-08
8,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03208938/n03208938_2891.JPEG,2.1639140018637227e-08
9,cornet_z_sl,imagenet_noface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03857828/n03857828_34581.JPEG,2.1638874889960076e-08
