,model_arch,train_type,layer,image,pred
0,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04418357/n04418357_11025.JPEG,1.7798892175732228e-07
1,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04325704/n04325704_12528.JPEG,1.7797491610776492e-07
2,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03710193/n03710193_4212.JPEG,1.7325599106734184e-07
3,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03980874/n03980874_4558.JPEG,1.6727909391275163e-07
4,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04525038/n04525038_5567.JPEG,1.6631311725616282e-07
5,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03980874/n03980874_4226.JPEG,1.6189337235448067e-07
6,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03775071/n03775071_2681.JPEG,1.5861392032080748e-07
7,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04325704/n04325704_12774.JPEG,1.5846076882802726e-07
8,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04209239/n04209239_10529.JPEG,1.5829864038683706e-07
9,cornet_z_sl,imagenet_noface,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04325704/n04325704_19069.JPEG,1.5703944809073665e-07
