,model_arch,train_type,layer,image,pred
0,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04525038/n04525038_3873.JPEG,9.455385028286378e-08
1,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04606251/n04606251_7213.JPEG,8.512706810461118e-08
2,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04251144/n04251144_13682.JPEG,8.424085398439327e-08
3,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04525305/n04525305_4153.JPEG,8.423509371110647e-08
4,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03063599/n03063599_4148.JPEG,8.342723609881041e-08
5,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n10565667/n10565667_8045.JPEG,8.327352384625316e-08
6,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04606251/n04606251_10089.JPEG,8.241127199119582e-08
7,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04599235/n04599235_26184.JPEG,8.152481078586903e-08
8,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02951585/n02951585_8406.JPEG,8.112564819384509e-08
9,cornet_z_sl,random,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03958227/n03958227_7474.JPEG,8.111048928442358e-08
