,model_arch,train_type,layer,image,pred
13,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n13054560/n13054560_13242.JPEG,6.752831516653721e-08
14,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n13054560/n13054560_13253.JPEG,6.752831516653721e-08
15,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n13054560/n13054560_13258.JPEG,6.752831516653721e-08
16,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n13054560/n13054560_13265.JPEG,6.752831516653721e-08
17,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n13054560/n13054560_13277.JPEG,6.752831516653721e-08
0,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04074963/n04074963_9076.JPEG,-8.657954188798776e-08
1,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04074963/n04074963_9083.JPEG,-8.657954188798776e-08
2,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04074963/n04074963_9100.JPEG,-8.657954188798776e-08
3,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04074963/n04074963_9106.JPEG,-8.657954188798776e-08
4,cornet_z_sl,vggface_oneobject,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04074963/n04074963_9156.JPEG,-8.657954188798776e-08
