,model_arch,train_type,layer,image,pred
0,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000157/0181_01.jpg,1.1116507009493485e-07
1,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000183/0204_05.jpg,1.102545160248631e-07
2,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000377/0220_01.jpg,1.0927257138047687e-07
3,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03776460/n03776460_54221.JPEG,1.08200800456008e-07
4,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03042490/n03042490_12.JPEG,1.0768156157954021e-07
5,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000475/0061_01.jpg,1.0763439667899928e-07
6,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000262/0188_01.jpg,1.0740043002805482e-07
7,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03920288/n03920288_4644.JPEG,1.0688624720976345e-07
8,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04579432/n04579432_3091.JPEG,1.0657046209690739e-07
9,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000077/0069_01.jpg,1.0557009639758536e-07
