,model_arch,train_type,layer,image,pred
0,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03255030/n03255030_2375.JPEG,1.2988563575358505e-07
1,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000131/0356_01.jpg,1.1799366258411378e-07
2,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02793495/n02793495_18620.JPEG,1.1685471247206974e-07
3,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02814860/n02814860_26358.JPEG,1.1558108811934528e-07
4,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04266014/n04266014_2840.JPEG,1.1555387117975928e-07
5,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02980441/n02980441_6328.JPEG,1.1420105040098846e-07
6,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02782093/n02782093_35261.JPEG,1.1386828316840871e-07
7,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02814860/n02814860_31896.JPEG,1.1308927008962276e-07
8,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04606251/n04606251_10205.JPEG,1.1263035908283597e-07
9,cornet_z_sl,vggface_oneobject,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03903868/n03903868_47546.JPEG,1.1232994181556874e-07
